Xi0_hMpc2,chi2_log,dof,chi2_dof,delta_chi2_vs_best,delta_chi2_vs_zero
0.00035687112959562246,10564.349929274444,450,23.47633317616543,9262.123119447744,5379.692787481223
0.0003841270454376358,13042.432409324136,450,28.983183131831414,11740.205599497436,7857.775267530915
0.0004134646229406202,16037.600859771075,450,35.6391130217135,14735.374049944376,10852.943717977854
0.00044504284833332393,19641.33455937574,450,43.64741013194609,18339.10774954904,14456.67741758252
0.00047903285036573215,23960.34371312851,450,53.24520825139669,22658.11690330181,18775.68657133529
0.0005156188276901583,29119.040098744747,450,64.70897799721055,27816.813288918045,23934.382956951526
0.0005549990470707652,35262.40373698883,450,78.36089719330852,33960.17692716213,30077.74659519561
0.0005973869178310004,42559.308710755024,450,94.57624157945561,41257.08190092832,37374.6515689618
0.0006430121483616148,51206.38129297495,450,113.79195842883321,49904.154483148246,46021.72415118173
0.0006921219909566023,61432.47517183138,450,136.51661149295862,60130.24836200468,56247.81803003816
0.0007449825817230662,73503.86203625749,450,163.34191563612774,72201.6352264308,68319.20489446426
0.0008018803828262751,87730.25139820852,450,194.95611421824117,86428.02458838183,82545.5942564153
0.0008631237348857143,104471.77162005931,450,232.1594924890207,103169.54481023262,99287.1144782661
0.000929044527934864,124147.06507892994,450,275.8823668420665,122844.83826910325,118962.40793713671
0.001,147242.67469035852,450,327.20594375635227,145940.4478805318,142058.0175485653
